name,station,owner,duid,connection_id,connection_voltage,generator_classification,market_generator,schedule_type,updated_on,position,region,fuel_source_primary,fuel_source_secondary,tech_type_primary,tech_type_secondary,marker_type,reg_cap,max_cap,mlf_11,mlf_12,mlf_13,mlf_14,mlf_15,mlf_16,mlf_17,mlf_18,mlf_19,mlf_20
Clements Gap WF,CLEMGPWF,Pacific Hydro Clements Gap Pty Ltd,CLEMGPWF,SCGW1P,132,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-33.49005515031493,""lng"":138.11363343061282}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,57,57,0.9644,0.959,0.9589,0.9645,0.9658,0.9701,0.9822,0.9787,0.9683, 0.9582 
Waterloo WF,WATERLWF,Waterloo Wind Farm Pty Ltd,WATERLWF,SWLE,132,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-33.99193867911781,""lng"":138.9167171726475}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,111,111,0.9776,0.9741,0.9747,0.9783,0.9819,0.9764,0.9784,0.9751,0.9712, 0.9677 
Mintaro PS,MINTARO,Synergen Power Pty Limited,MINTARO,SMPS,132,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-33.90264651755165,""lng"":138.7373877933582}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,90,105,0.9819,0.9731,0.9778,0.9819,0.9879,0.9736,0.9889,0.9941,0.9942, 0.9779 
Wattle Point Windfarm,WPWF,AGL Hydro Partnership,WPWF,SSYP1,132,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-35.115788298829784,""lng"":137.7198884891298}",SA,Wind,Wind,Renewable,Wind - Onshore,Wind,90.75,91,0.8436,0.8254,0.8138,0.8309,0.8218,0.8195,0.8185,0.833,0.8279, 0.8124 
Angaston PS,ANGASTON,Lumo Generation SA Pty Ltd,ANGAST1,SDRN1,33,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-34.503059328082706,""lng"":139.02587418612796}",SA,Diesel,Diesel,Combustion,Compression Reciprocating Engine,Diesel,30,30,,,,,,,1.0042,1.0121,1.0087, 0.9493 
Angaston PS,ANGASTON,Lumo Generation SA Pty Ltd,ANGAST2,SDRN2,33,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-34.503059328082706,""lng"":139.02587418612796}",SA,Diesel,Diesel,Combustion,Compression Reciprocating Engine,Diesel,20,20,,,,,,,1.0042,1.0121,1.0087, 0.9493 
Pellican Pt PS,NPPPPS,Pelican Point Power Limited,PPCCGT,SPPT,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.76477773267317,""lng"":138.50347990732868}",SA,Gas,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Gas,478,510,0.9988,0.9995,0.999,0.9992,0.9994,1.001,1.0009,1.0012,1.0005, 0.9986 
Quarantine PS,QUARANTN,Origin Energy Electricity Limited,QPS1,SQPS1,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.78017293294319,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,24,25,1,1,1,0.9949,0.9939,0.9932,0.9864,0.9856,0.9854, 0.9961 
Quarantine PS,QUARANTN,Origin Energy Electricity Limited,QPS2,SQPS2,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.78017293294319,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,24,25,1,1,1,0.9949,0.9939,0.9932,0.9864,0.9856,0.9854, 0.9961 
Quarantine PS,QUARANTN,Origin Energy Electricity Limited,QPS3,SQPS3,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.78017293294319,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,24,25,1,1,1,0.9949,0.9939,0.9932,0.9864,0.9856,0.9854, 0.9961 
Quarantine PS,QUARANTN,Origin Energy Electricity Limited,QPS4,SQPS4,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.78017293294319,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,24,25,1,1,1,0.9949,0.9939,0.9932,0.9864,0.9856,0.9854, 0.9961 
Quarantine PS,QUARANTN,Origin Energy Electricity Limited,QPS5,SQPS5Q,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-34.78017293294319,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,128,128,1,1,1,0.9949,0.9939,0.9932,0.9864,0.9856,0.9854, 0.9961 
OCPL,OSBORNE,Origin Energy Electricity Limited,OSB-AG,SNBN1,66,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.79864717326723,""lng"":138.50737837209584}",SA,Gas,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),Gas,180,204,0.9998,1.0003,0.9997,0.9989,0.999,0.9995,0.9994,0.9988,0.9992, 0.9995 
TIPS B,TORRIS,AGL SA Generation Pty Limited,TORRB1,STSB1,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.804805253375235,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,200,210,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
TIPS B,TORRIS,AGL SA Generation Pty Limited,TORRB2,STSB2,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.804805253375235,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,200,210,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
TIPS B,TORRIS,AGL SA Generation Pty Limited,TORRB3,STSB3,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.804805253375235,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,200,210,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
TIPS B,TORRIS,AGL SA Generation Pty Limited,TORRB4,STSB4,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-34.804805253375235,""lng"":138.5229722311645}",SA,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,200,210,0.9998,1.0007,0.9999,0.9999,1.0004,1.0019,1.0014,1.0016,1.0009, 0.9992 
