name,station,owner,duid,connection_id,connection_voltage,generator_classification,market_generator,schedule_type,updated_on,position,region,fuel_source_primary,fuel_source_secondary,tech_type_primary,tech_type_secondary,marker_type,reg_cap,max_cap,mlf_11,mlf_12,mlf_13,mlf_14,mlf_15,mlf_16,mlf_17,mlf_18,mlf_19,mlf_20
Poatina PS,PTINA110,Hydro-Electric Corporation,POAT110,TPM21,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.80654233618351,""lng"":146.92416380439147}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,100,124,0.9912,0.9962,0.9758,0.9777,0.9571,0.963,0.9824,0.9677,0.9799, 0.9728 
Poatina PS,PTINA220,Hydro-Electric Corporation,POAT220,TPN11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-41.80654233618351,""lng"":146.92416380439147}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,200,248,1.004,1.0071,0.9883,0.9901,0.9681,0.9725,0.9929,0.9813,0.9912, 0.9846 
John Butters PS,JBUTTERS,Hydro-Electric Corporation,JBUTTERS,TJB11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.154473862286125,""lng"":145.53631034728298}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,144,144,0.9561,0.9448,0.942,0.9393,0.9405,0.9384,0.9456,0.9445,0.9365, 0.9370 
Butlers Gorge PS,BUTLERSG,Hydro-Electric Corporation,BUTLERSG,TBG11,110,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-42.26839834428432,""lng"":146.2614247939745}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,14.4,15,0.9622,0.977,0.948,0.9453,0.9142,0.9418,0.9399,0.9216,0.935, 0.9305 
Lake Echo PS,LK_ECHO,Hydro-Electric Corporation,LK_ECHO,TLE11,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.2530031440143,""lng"":146.6200835525531}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,32.4,34,0.9933,0.9744,0.9428,0.9538,0.9028,0.9338,0.936,0.9487,0.9385, 0.9257 
Tarraleah PS,TARRALEA,Hydro-Electric Corporation,TARRALEA,TTA11,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.30226778487838,""lng"":146.45634803233244}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,90,94,0.9703,0.9835,0.9522,0.9513,0.9195,0.9432,0.9453,0.9338,0.9405, 0.9363 
Tungatinah PS,TUNGATIN,Hydro-Electric Corporation,TUNGATIN,TTU11,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.29610970477037,""lng"":146.45634803233244}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,125,142.2,0.9617,0.9672,0.9395,0.9427,0.9122,0.9404,0.9091,0.9233,0.9184, 0.9065 
Liapootah PS,LI_WY_CA,Hydro-Electric Corporation,LI_WY_CA,TLI11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.37616474617452,""lng"":146.51092653907264}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,170.1,183,1.024,1.0203,1.0062,1.0055,0.9702,0.9915,1.0028,0.9919,0.9977, 0.9936 
Wayatinah PS,LI_WY_CA,Hydro-Electric Corporation,LI_WY_CA,TLI11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.42850842709261,""lng"":146.5343173276756}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,170.1,183,1.024,1.0203,1.0062,1.0055,0.9702,0.9915,1.0028,0.9919,0.9977, 0.9936 
Catagunya PS,LI_WY_CA,Hydro-Electric Corporation,LI_WY_CA,TLI11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.45314074752465,""lng"":146.59669276395016}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,170.1,183,1.024,1.0203,1.0062,1.0055,0.9702,0.9915,1.0028,0.9919,0.9977, 0.9936 
Cluny PS,CLUNY,Hydro-Electric Corporation,CLUNY,TCL11,220,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-42.50548442844274,""lng"":146.68245898882765}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,17,19,1.0283,1.0231,1.0095,1.0095,0.9737,0.9933,1.0055,0.9908,1.0019, 0.9961 
Repulse PS,REPULSE,Hydro-Electric Corporation,REPULSE,TCL12,220,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-42.508563468496746,""lng"":146.6473728059232}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,28,29,1.0283,1.0231,1.0095,1.0095,0.9737,0.9933,1.0055,0.9908,1.0019, 0.9961 
Meadowbank PS,MEADOWBK,Hydro-Electric Corporation,MEADOWBK,TMB11,110,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.610171790278926,""lng"":146.8461945090483}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,40,42,1.0189,1.0138,1.0064,1.0168,0.9644,0.9737,0.9756,0.977,0.9773, 0.9716 
Gordon PS,GORDON,Hydro-Electric Corporation,GORDON,TGO11,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-42.73949147254715,""lng"":145.98463379550623}",TAS,Hydro,Water,Renewable,Hydro - Gravity,Hydro,432,450,1.007,1.003,0.9672,1.0037,0.9046,0.94,0.9676,0.9594,0.9868, 0.9594 
Murray 1 PS,MURRAY,Snowy Hydro Limited,MURRAY,NMUR8,330,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-36.24579599864976,""lng"":148.1872663889509}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,1500,1575,0.98,0.9628,1.011,0.9864,1.0178,0.9885,0.959,0.8964,0.9069, 0.9516 
Murray 2 PS,MURRAY,Snowy Hydro Limited,MURRAY,NMUR8,330,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-36.24271695859576,""lng"":148.13658634697782}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,1500,1575,0.98,0.9628,1.011,0.9864,1.0178,0.9885,0.959,0.8964,0.9069, 0.9516 
Dartmouth PS (DPS),DARTM,AGL Hydro Partnership,DARTM1,VDPS,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-36.55677904410431,""lng"":147.52062891376676}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,150,185,1.0271,1.0151,0.9885,0.9834,1.0097,1.0004,0.9812,0.9372,0.9249, 0.9472 
Bogong PS,MCKAY,AGL Hydro Partnership,MCKAY1,VMKP1,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-36.80618128847875,""lng"":147.22824405622987}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,300,300,0.9912,0.9866,0.9993,0.9919,1.0083,0.9883,0.9543,0.9213,0.9265, 0.9601 
West Kiewa PS (WKPS),WKIEWA,AGL Hydro Partnership,WKIEWA1,VWKP1,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-36.75999568766866,""lng"":147.18536094379112}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,31,34,1.0073,1.0103,1.0191,1.0279,1.0416,1.0247,1.0026,0.954,0.9607, 0.9986 
West Kiewa PS (WKPS),WKIEWA,AGL Hydro Partnership,WKIEWA2,VWKP2,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-36.75999568766866,""lng"":147.18536094379112}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,31,34,1.0073,1.0103,1.0191,1.0279,1.0416,1.0247,1.0026,0.954,0.9607, 0.9986 
Mckay Ck PS (MKPS),MCKAY,AGL Hydro Partnership,MCKAY1,VMKP1,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-36.85852496939684,""lng"":147.23604098576416}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,300,300,0.9912,0.9866,0.9993,0.9919,1.0083,0.9883,0.9543,0.9213,0.9265, 0.9601 
Clover PS,CLOVER,AGL Hydro Partnership,CLOVER,VMBT1,66,GENERATOR - NOT DISPATCHED,No,NON-SCHEDULED,26/3/15,"{""lat"":-36.78462800810071,""lng"":147.22044712669555}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,30,30,,,,,,,,,0.9882, 1.0187 
Rubicon PS,RUBICON,AGL Hydro Partnership,RUBICON,VTT21R,22,GENERATOR - NOT DISPATCHED,No,NON-SCHEDULED,26/3/15,"{""lat"":-37.326927,""lng"":145.860499}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,13,13,,,,,,,,,0.9979, 0.9941 
Eildon PS,EILDON,AGL Hydro Partnership,EILDON1,VEPS1,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-37.22185169576947,""lng"":145.9222583592317}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,60,60,0.9964,0.995,0.9902,0.9944,1.0078,1.0026,0.9945,0.9696,0.9782, 0.9855 
Eildon PS,EILDON,AGL Hydro Partnership,EILDON2,VEPS2,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-37.22185169576947,""lng"":145.9222583592317}",VIC,Hydro,Water,Renewable,Hydro - Gravity,Hydro,60,60,0.9964,0.995,0.9902,0.9944,1.0078,1.0026,0.9945,0.9696,0.9782, 0.9855 
Somerton PS (SPS),AGLSOM,AGL Hydro Partnership,AGLSOM,VTTS1,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-37.63136402295219,""lng"":144.95154063220917}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,160,170,0.9943,0.9939,0.996,0.9954,0.9927,0.9946,0.9949,0.9968,0.9963, 0.9915 
Newport D PS (NPSD),NEWPORT,Ecogen Energy Pty Ltd,NPS,VNPS,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-37.84073874662456,""lng"":144.89696212546895}",VIC,Gas,Natural Gas,Combustion,Steam Sub-Critical,Gas,500,510,0.9939,0.995,0.9969,0.9943,0.9953,0.9952,0.9939,0.999,0.9962, 0.9922 
Loy Yang A PS (LYPA),LOYYANGA,AGL Loy Yang Marketing Pty Ltd,LYA1,VLYP1,500,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25025107380728,""lng"":146.57720044011435}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,560,590,0.9715,0.9696,0.9709,0.9699,0.9704,0.9742,0.9723,0.9801,0.9798, 0.9754 
Loy Yang A PS (LYPA),LOYYANGA,AGL Loy Yang Marketing Pty Ltd,LYA2,VLYP2,500,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25025107380728,""lng"":146.57720044011435}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,530,535,0.9715,0.9696,0.9709,0.9699,0.9704,0.9742,0.9723,0.9801,0.9798, 0.9754 
Loy Yang A PS (LYPA),LOYYANGA,AGL Loy Yang Marketing Pty Ltd,LYA3,VLYP3,500,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25025107380728,""lng"":146.57720044011435}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,560,590,0.9715,0.9696,0.9709,0.9699,0.9704,0.9742,0.9723,0.9801,0.9798, 0.9754 
Loy Yang A PS (LYPA),LOYYANGA,AGL Loy Yang Marketing Pty Ltd,LYA4,VLYP4,500,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25025107380728,""lng"":146.57720044011435}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,560,580,0.9715,0.9696,0.9709,0.9699,0.9704,0.9742,0.9723,0.9801,0.9798, 0.9754 
Loy Yang B PS (LYPB),LOYYB,IPM Australia Limited,LOYYB1,VLYP5,500,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25333011386128,""lng"":146.58499736964868}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,500,600,0.9715,0.9696,0.9709,0.9699,0.9704,0.9742,0.9723,0.9801,0.9798, 0.9754 
Loy Yang B PS (LYPB),LOYYB,IPM Australia Limited,LOYYB2,VLYP6,500,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25333011386128,""lng"":146.58499736964868}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,500,600,0.9715,0.9696,0.9709,0.9699,0.9704,0.9742,0.9723,0.9801,0.9798, 0.9754 
Morwell PS,ENERGYB,Energy Brix Australia Corporation Pty Ltd,MOR1,VMWT1,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25333011386128,""lng"":146.41346491989367}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,90,90,0.9716,0.9704,0.9713,0.9694,0.9682,0.9704,,,,
Morwell PS,ENERGYB,Energy Brix Australia Corporation Pty Ltd,MOR2,VMWP4,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25333011386128,""lng"":146.41346491989367}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,30,30,0.9632,0.9607,0.9619,0.9649,0.9698,0.9732,,,,
Morwell PS,ENERGYB,Energy Brix Australia Corporation Pty Ltd,MOR3,VMWP5,275,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25333011386128,""lng"":146.41346491989367}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,75,75,0.9632,0.9607,0.9619,0.9649,0.9698,0.9732,,,,
Jeeralang A PS (JLGA),JEERA,Ecogen Energy Pty Ltd,JLA01,VJLGA1,220,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.274883394239325,""lng"":146.42516031419515}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,51,65,0.9659,0.9617,0.964,0.9633,0.9647,0.9667,0.9641,0.983,0.9783, 0.9733 
Jeeralang A PS (JLGA),JEERA,Ecogen Energy Pty Ltd,JLA02,VJLGA2,220,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.274883394239325,""lng"":146.42516031419515}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,51,65,0.9659,0.9617,0.964,0.9633,0.9647,0.9667,0.9641,0.983,0.9783, 0.9733 
Jeeralang A PS (JLGA),JEERA,Ecogen Energy Pty Ltd,JLA03,VJLGA3,220,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.274883394239325,""lng"":146.42516031419515}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,51,65,0.9659,0.9617,0.964,0.9633,0.9647,0.9667,0.9641,0.983,0.9783, 0.9733 
Jeeralang A PS (JLGA),JEERA,Ecogen Energy Pty Ltd,JLA04,VJLGA4,220,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.274883394239325,""lng"":146.42516031419515}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,51,65,0.9659,0.9617,0.964,0.9633,0.9647,0.9667,0.9641,0.983,0.9783, 0.9733 
Jeeralang B PS (JLGB),JEERB,Ecogen Energy Pty Ltd,JLB01,VJLGB1,220,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.274883394239325,""lng"":146.42516031419515}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,76,100,0.9659,0.9617,0.964,0.9633,0.9647,0.9667,0.9641,0.983,0.9783, 0.9733 
Jeeralang B PS (JLGB),JEERB,Ecogen Energy Pty Ltd,JLB02,VJLGB2,220,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.274883394239325,""lng"":146.42516031419515}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,76,100,0.9659,0.9617,0.964,0.9633,0.9647,0.9667,0.9641,0.983,0.9783, 0.9733 
Jeeralang B PS (JLGB),JEERB,Ecogen Energy Pty Ltd,JLB03,VJLGB3,220,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.274883394239325,""lng"":146.42516031419515}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,76,100,0.9659,0.9617,0.964,0.9633,0.9647,0.9667,0.9641,0.983,0.9783, 0.9733 
Valley Power Gas PS (VPGS),VPGS,Snowy Hydro Limited,VPGS1,VLYP7,500,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.25333011386128,""lng"":146.58889583441584}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,50,60,0.9715,0.9696,0.9709,0.9699,0.9704,0.9742,0.9723,0.9801,0.9798, 0.9754 
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS1,VHWP1,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS2,VHWP2,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS3,VHWP3,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS4,VHWP4,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS5,VHWP5,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS6,VHWP6,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS7,VHWP7,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Hazelwood PS (HWPS),HAZEL,Hazelwood Power,HWPS8,VHWP8,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.27180435418531,""lng"":146.39007413129073}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,200,200,0.9691,0.967,0.9685,0.9673,0.9691,0.9723,,,,
Yallourn W PS (YWPS),YALLOURN,EnergyAustralia Yallourn Pty Ltd,YWPS1,VYP21,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.17635411251115,""lng"":146.347191018852}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,360,395,0.9582,0.9561,0.956,0.9497,0.9538,0.9589,0.9541,0.9702,0.9696, 0.9650 
Yallourn W PS (YWPS),YALLOURN,EnergyAustralia Yallourn Pty Ltd,YWPS2,VYP22,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.17635411251115,""lng"":146.347191018852}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,360,380,0.9471,0.9512,0.9494,0.9481,0.9536,0.9563,0.9509,0.9558,0.9573, 0.9544 
Yallourn W PS (YWPS),YALLOURN,EnergyAustralia Yallourn Pty Ltd,YWPS3,VYP23,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.17635411251115,""lng"":146.347191018852}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,380,405,0.9471,0.9512,0.9494,0.9481,0.9536,0.9563,0.9509,0.9558,0.9573, 0.9544 
Yallourn W PS (YWPS),YALLOURN,EnergyAustralia Yallourn Pty Ltd,YWPS4,VYP24,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.17635411251115,""lng"":146.347191018852}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,380,405,0.9471,0.9512,0.9494,0.9481,0.9536,0.9563,0.9509,0.9558,0.9573, 0.9544 
Bairnsdale PS,DEIBDL,AETV Pty Ltd,BDL01,VMWT2,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-37.84073874662456,""lng"":147.5635120262055}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,47,47,0.9683,0.968,0.9701,0.9752,0.9745,0.9771,0.9745,0.9863,0.9866, 0.9871 
Bairnsdale PS,DEIBDL,AETV Pty Ltd,BDL02,VMWT3,66,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-37.84073874662456,""lng"":147.5635120262055}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,47,47,0.9683,0.968,0.9701,0.9752,0.9745,0.9771,0.9745,0.9863,0.9866, 0.9871 
Toora Wind Farm,TOORAWF,Toora Wind Farm Pty Ltd,TOORAWF,VMWT5,66,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-38.65360532088199,""lng"":146.33939408931766}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,21,21,0.9719,0.9703,0.9713,0.978,0.9777,0.9799,0.9759,0.9886,0.9879, 0.9938 
Bald Hills WF,BHWF,Alinta Energy Retail Sales Pty Ltd,BALDHWF1,VMWT9B,66,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-38.75829268271817,""lng"":145.95734454213613}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,106.6,120,,,,,0.9777,0.9799,0.9759,0.9886,0.9879, 0.9938 
Anglesea PS (APS),APS,Alcoa Of Australia Limited,APS,VAPS,220,GENERATOR - SLOW,Yes,SCHEDULED,26/3/15,"{""lat"":-38.38572883618352,""lng"":144.1835430730789}",VIC,Coal,Brown Coal,Combustion,Steam Sub-Critical,Coal,150,150,1.0114,1.0121,1.0135,1.0112,0.9849,0.9915,,,,
Mt Mercer WF,MTMERCER,Mt Mercer Windfarm Pty Ltd,MERCER01,VELT1M,220,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-37.84689682673257,""lng"":143.87166589170621}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,131,131,,,,,1.0064,1.0033,1.0048,1.001,0.9909, 0.9668 
Waubra WF,WAUBRAWF,Pyrenees Wind Energy Development Pty Ltd,WAUBRAWF,VWBT1A,220,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-37.35732945814571,""lng"":143.59097642847078}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,192,192,1.0353,1.0226,1.0252,1.0182,1.0157,1.0122,1.0111,0.9997,0.9784, 0.9326 
Challicum Hills WF,CHALLWF,Pacific Hydro Challicum Hills Pty Ltd,CHALLHWF,VHOT1,66,GENERATOR - NOT DISPATCHED,No,NON-SCHEDULED,26/3/15,"{""lat"":-37.39427793879378,""lng"":143.10366833257595}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,52.5,53,,,,,,,,,0.9957, 0.9330 
Oakland Hill WF,OAKLAND,AGL Hydro Partnership,OAKLAND1,VTGT3A,66,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-37.68062866381628,""lng"":142.55398480040657}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,67,63,,,1.0347,1.0284,1.0262,1.03,1.0339,1.0322,1.0149, 1.0071 
Mortons Lane WF,MLWF,Mortons Lane Windfarm Pty Limited,MLWF1,VTGT4M,66,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-37.83458066651655,""lng"":142.46432011076192}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,20,20,,,1.0347,1.0284,1.0262,1.03,1.0339,1.0322,1.0149, 1.0071 
Macarthur Wind Farm,MACARTH,AGL Hydro Partnership,MACARTH1,VTRT1M,500,GENERATOR - SLOW,Yes,SEMI-SCHEDULED,26/3/15,"{""lat"":-38.04395539018891,""lng"":142.17973218275935}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,420,420,,,1.005,1.0042,0.9946,0.994,1.0022,1.0017,0.9971, 0.9815 
Mortlake PS,MORTLK,Origin Energy Electricity Limited,MORTLK11,VM0P1O,500,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.06242963051295,""lng"":142.66704027865418}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,283,281,0.9977,0.9975,0.9971,0.998,0.9922,0.9942,1.0015,1.005,0.9961, 0.9855 
Mortlake PS,MORTLK,Origin Energy Electricity Limited,MORTLK12,VM0P2O,500,GENERATOR - FAST,Yes,SCHEDULED,26/3/15,"{""lat"":-38.06242963051295,""lng"":142.66704027865418}",VIC,Gas,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),Gas,283,281,0.9977,0.9975,0.9971,0.998,0.9922,0.9942,1.0015,1.005,0.9961, 0.9855 
Codrington WF,CODRGTON,Energy Pacific (Vic) Pty Ltd,CODRNGTON,VTGT2C,66,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-38.28412051440134,""lng"":141.95362122626415}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,18.2,18,1.0421,1.0356,1.0347,1.0284,1.0262,1.03,1.0339,1.0322,1.0149, 1.0071 
Yambuk WF,YAMBUK,Energy Pacific (Vic) Pty Ltd,YAMBUKWF,VTGT1,66,GENERATOR - NOT DISPATCHED,Yes,NON-SCHEDULED,26/3/15,"{""lat"":-38.30567379477937,""lng"":142.01989512730583}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,30,30,1.0421,1.0356,1.0347,1.0284,1.0262,1.03,1.0339,1.0322,1.0149, 1.0071 
Cape Bridgewater WF,PORTWF,Pacific Hydro Portland Wind Farm Pty Ltd,PORTWF,VAPD3W,500,GENERATOR - NOT DISPATCHED,No,NON-SCHEDULED,26/3/15,"{""lat"":-38.36109651575147,""lng"":141.38444537025896}",VIC,Wind,Wind,Renewable,Wind - Onshore,Wind,148,148,,,,,,,,,,
